timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,attitude.x,attitude.y,attitude.z,motor_speed.0,motor_speed.1,motor_speed.2,motor_speed.3
0,-6.5,-20.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.5707963267948966,1133.1510991975279,1133.1510991975279,1133.1510991975279,1133.1510991975279
10000000,-6.499989672628517,-19.999995879866745,-2.0000075324843816,0.0013304954507409093,3.458860400044526e-05,-0.0019060910903035697,-2.5918106703268933e-05,-0.0001728900672668095,-1.5688049039318122,1092.3402876151717,1149.907608863909,1121.3557679646046,1169.7588747250497
20000000,-6.499946375187084,-19.99999377280668,-2.000014212183232,0.0071966439655001355,0.0013847368752020327,0.0010878100046552489,-0.000246678457760841,-0.0014719202826604355,-1.5612921198041732,993.2201205851279,1189.3244929841194,1094.5571222296592,1259.1618852983693
30000000,-6.49988169806755,-19.999966624252362,-2.0000198882540703,0.008630526124946018,0.004563412962322375,-0.003201666940742769,-0.0006272836407088207,-0.004211378519483543,-1.5495568788047842,932.6005215306975,1213.6112845457458,1080.3268918778253,1316.878737540777
40000000,-6.499775247834788,-19.99994626513389,-2.000067412539508,0.010725899771297037,0.0020474864114989047,-0.0048301986095441694,-0.001172885467486335,-0.009154337490697832,-1.5314057253108704,914.0330102154676,1221.0711175389986,1078.9174170312083,1343.1540839742481
50000000,-6.499657184377153,-19.999930635135854,-2.0001172324775918,0.013974532628409265,0.0017971264883121915,-0.0070713900222398075,-0.001711913439598692,-0.015366270961276162,-1.5109307793745135,918.9188375083523,1218.7827162350764,1083.7466169645918,1347.915223420756
60000000,-6.499501425791408,-19.999925611172852,-2.000193960042947,0.014211775390600615,-0.0011358649234219918,-0.00673103302908086,-0.0025819408203222845,-0.024227475215282134,-1.483792031498276,932.420899884729,1218.1433369111141,1086.841065206718,1342.7644922057289
70000000,-6.499355589280638,-19.999948930056444,-2.0002783784296025,0.013899760911825073,-0.0036290309597176067,-0.008346270879667893,-0.0037917798805011524,-0.03486221526192516,-1.452348783694008,949.8150295504979,1216.4113580162964,1085.3589758250478,1336.5219339735118
80000000,-6.499235392056661,-20.000005729871535,-2.0003519278134294,0.012196955921806977,-0.00789421120233358,-0.008544184985529215,-0.005090691472948746,-0.04579490260047023,-1.420723579234244,966.872663590057,1210.8812434073018,1084.3364860335803,1331.7153466825912
90000000,-6.499117871719955,-20.000140397562497,-2.000458880528483,0.01223298257043195,-0.017186624203877624,-0.01130847882213081,-0.006716305992534102,-0.05927065246890456,-1.3822881568299044,985.2739912354011,1206.5351113068987,1083.3874885660598,1323.7480229111043
99999999,-6.498992321014422,-20.000374629733237,-2.000570814590641,0.013187620109627887,-0.028413212889748057,-0.012237378745528778,-0.008634213275760274,-0.07384618616849108,-1.3406218517926531,1000.8927784141799,1204.1051150859566,1083.1987555894486,1314.5670065382694
109999999,-6.498875908517054,-20.000682978760516,-2.000707030900433,0.011989232572784062,-0.0369910334526417,-0.0158150932011089,-0.010583409655637031,-0.08777073534622304,-1.300687466915732,1013.4895381729041,1198.9032660120406,1084.777172005881,1308.054932903959
119999999,-6.498743523166515,-20.0011008276074,-2.0009123875764407,0.013918774501566233,-0.0462485599422014,-0.02386552617140475,-0.013003211661027941,-0.10393346656013318,-1.2538414178774853,1028.6019925567064,1193.4691517208728,1083.3075153677908,1301.6827728823798
129999999,-6.498592686911065,-20.001597700478474,-2.0011572239824633,0.019520625683283836,-0.060172053095016914,-0.028649770509838513,-0.015380475170438137,-0.11886143560479215,-1.20967803702486,1039.2184468811054,1190.5055529358435,1081.6661867428734,1295.9157813242416
140000000,-6.49836509563462,-20.00228451535337,-2.001479584410141,0.023182354530130688,-0.07222260387853835,-0.034725304443235246,-0.018196028716919357,-0.13585952073270302,-1.1586264753365474,1048.9571294420925,1184.4815358125857,1082.405126321069,1290.377387780104
150000000,-6.498088965773791,-20.003119236804523,-2.0018361568106835,0.030387922867534986,-0.08697426456394063,-0.03483217262599674,-0.021193354178223028,-0.15308317935716934,-1.1056188728559473,1060.0329072703405,1177.250793262048,1078.862727541397,1287.827381362535
160000000,-6.497798187910885,-20.003994640504683,-2.0021737447636077,0.035222649526966555,-0.10060657911857945,-0.03707511124002784,-0.023924536918339664,-0.16859179876199692,-1.0563376268056757,1070.6927938542274,1172.2163565727265,1072.5066918275318,1286.3529909944027
170000000,-6.497392794575148,-20.00512382670984,-2.0025882385599187,0.0425342318592947,-0.11704101200947671,-0.042441336603166534,-0.02702989211717943,-0.1856569993389605,-1.0000009252953495,1080.1999651906478,1168.0360576777518,1068.4536545474868,1283.4722166489398
180000000,-6.4969505773943785,-20.006305554539985,-2.002994673379325,0.0513718360977803,-0.13601404212829613,-0.04310884936169749,-0.02987841527960418,-0.2008791515433096,-0.9480289116563402,1086.5303358234148,1165.5391704700792,1066.15926573399,1280.4936650962504
190000000,-6.49636841184109,-20.007797644702475,-2.003457341130589,0.06299000735848458,-0.15326557866840934,-0.04275043453859837,-0.03312006629170227,-0.21752324077813961,-0.8889557559473482,1093.3960713962288,1164.1654490866845,1062.4490007317065,1276.8808310233856
200000000,-6.495670631771531,-20.009526032052435,-2.003926546035524,0.07175756939688303,-0.17814197868262194,-0.04502084217701404,-0.036395377261423986,-0.23368708011338762,-0.8285195043825766,1102.4883487243703,1165.0126580905742,1055.3761467271286,1272.6090224267095
