timestamp,gyroscope.x,gyroscope.y,gyroscope.z,acceleration.x,acceleration.y,acceleration.z,gyroscope_filtered.x,gyroscope_filtered.y,gyroscope_filtered.z,acceleration_filtered.x,acceleration_filtered.y,acceleration_filtered.z
0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,-9.81
10000000,0.030060377188441356,0.08261383140749323,0.36296081408008213,-0.008900127982988615,-0.013580666184771427,-9.86174578494105,0.01350877249333065,-0.02090919462803193,0.11078810544831531,0.02545529181001812,-0.007084328118068652,-9.837157811518052
20000000,-0.044877005887614056,0.00307240651975918,0.7894820747263345,0.0020145275897281503,-0.20234716242099085,-9.955199176169907,-0.005563467264056169,-0.012519353754574596,0.46179119802384194,0.003941157292199941,-0.061285569928640586,-9.903690515879642
30000000,-0.024420389702761218,-0.3317015526039879,1.3274359127474595,0.04339222862144365,0.0643330226434427,-10.020093156106752,-0.014297322287015605,-0.1435164607648431,0.9300259013642707,0.026210695765130725,-0.0416265867055108,-9.961511438345251
40000000,0.02727943657484204,-0.6307633610786597,1.756301342354649,-0.11312662702366567,0.02815113656027698,-10.106981863815603,0.0010518080301929345,-0.37216850629289755,1.4173929329532022,-0.005597724370145392,-0.002002464899573262,-10.030564758330698
50000000,-0.0529678473487774,-0.77228741074345,2.2166445683268106,0.01611595775858062,-0.03853641375468558,-10.290596241074768,-0.0362276641959229,-0.598247213224429,1.8808160445310385,-0.07785469684330283,0.033257219288533285,-10.153592223616407
60000000,0.012938094054679425,-0.8342632081783703,2.720538476678072,-0.01904935439986166,-0.014623445568481793,-10.133188667082965,-0.017554324773279503,-0.7534159940220425,2.3454911240268834,-0.043333829271879835,-0.002900431643301251,-10.208713898192837
70000000,-0.13312820183959642,-1.1204129054042151,2.998002285151538,-0.060644127915982345,-0.11969109798731685,-10.21407025271681,-0.04009077695372914,-0.9326017617768433,2.757336941382506,-0.017656895790103367,-0.054436931911218,-10.16811070175202
80000000,0.04707324718846129,-1.2434985021076685,3.3326571586199965,0.09917143661714024,-0.00634202492137869,-10.202539960219177,-0.013111189950532088,-1.1023140925333648,3.11580678113564,-0.005704442073554847,-0.034097730620432594,-10.182530443912839
90000000,0.04034611602367871,-1.25349275550272,3.7180122037802463,-0.10065065333502415,0.07399124627293324,-10.16624329931848,0.04296813594094471,-1.2276304065822499,3.4638677945968,-0.00636818601554877,0.0022173611598573645,-10.135601054604304
